temperature,r,C_r
2.3691853142134702,45.0,-0.02753674823529412
2.3691853142134702,46.0,-0.029105349189189195
2.3691853142134702,47.0,-0.02809835178082192
2.3691853142134702,48.0,-0.027957185641025645
2.3691853142134702,49.0,-0.028510896842105265
2.4691853142134703,0.0,0.9911263599999999
2.4691853142134703,1.0,0.48592636
2.4691853142134703,2.0,0.31177636000000003
2.4691853142134703,3.0,0.22468635999999992
2.4691853142134703,4.0,0.16375969333333332
2.4691853142134703,5.0,0.11202635999999999
2.4691853142134703,6.0,0.0790374711111111
2.4691853142134703,7.0,0.05865969333333332
2.4691853142134703,8.0,0.04549778857142856
2.4691853142134703,9.0,0.03805493142857143
2.4691853142134703,10.0,0.02771459529411765
2.4691853142134703,11.0,0.018413859999999997
2.4691853142134703,12.0,0.009866359999999996
2.4691853142134703,13.0,0.0038220121739130446
2.4691853142134703,14.0,-0.0023736399999999998
2.4691853142134703,15.0,-0.0059986399999999995
2.4691853142134703,16.0,-0.008781973333333335
2.4691853142134703,17.0,-0.010825364137931037
2.4691853142134703,18.0,-0.012686973333333336
2.4691853142134703,19.0,-0.01174030666666667
2.4691853142134703,20.0,-0.011273640000000007
2.4691853142134703,21.0,-0.009345862222222223
2.4691853142134703,22.0,-0.005679522352941177
2.4691853142134703,23.0,-0.002256497142857142
2.4691853142134703,24.0,0.00285793894736842
2.4691853142134703,25.0,0.0031882647619047603
2.4691853142134703,26.0,0.005571814545454542
2.4691853142134703,27.0,0.0059653843902439
2.4691853142134703,28.0,0.006350169523809522
2.4691853142134703,29.0,0.007943026666666665
2.4691853142134703,30.0,0.010041253617021274
2.4691853142134703,31.0,0.011191744615384617
2.4691853142134703,32.0,0.00951436
2.4691853142134703,33.0,0.006607129230769231
2.4691853142134703,34.0,0.006526359999999999
2.4691853142134703,35.0,0.0027994369230769237
2.4691853142134703,36.0,0.0006091186206896574
2.4691853142134703,37.0,-0.0016560961403508743
2.4691853142134703,38.0,-0.004248639999999996
2.4691853142134703,39.0,-0.004918801290322575
2.4691853142134703,40.0,-0.007080419661016946
2.4691853142134703,41.0,-0.009038345882352939
2.4691853142134703,42.0,-0.011185761212121208
2.4691853142134703,43.0,-0.012406973333333331
2.4691853142134703,44.0,-0.013044654492753622
2.4691853142134703,45.0,-0.014438345882352942
2.4691853142134703,46.0,-0.015370937297297294
2.4691853142134703,47.0,-0.017172270136986304
2.4691853142134703,48.0,-0.01583005025641026
2.4691853142134703,49.0,-0.015731534736842107
2.76918531421347,0.0,0.997884
2.76918531421347,1.0,0.389084
2.76918531421347,2.0,0.196834
2.76918531421347,3.0,0.10684400000000001
2.76918531421347,4.0,0.06605066666666666
2.76918531421347,5.0,0.039564
2.76918531421347,6.0,0.018417333333333334
2.76918531421347,7.0,0.009567333333333336
2.76918531421347,8.0,0.004884000000000004
2.76918531421347,9.0,0.00566971428571429
2.76918531421347,10.0,0.003966352941176471
2.76918531421347,11.0,0.0031215
2.76918531421347,12.0,0.004314
2.76918531421347,13.0,0.006675304347826087
2.76918531421347,14.0,0.006193090909090909
2.76918531421347,15.0,0.006067333333333334
2.76918531421347,16.0,0.008625666666666665
2.76918531421347,17.0,0.009097793103448272
2.76918531421347,18.0,0.009044
2.76918531421347,19.0,0.005564
2.76918531421347,20.0,0.0037549677419354854
2.76918531421347,21.0,0.0019395555555555579
2.76918531421347,22.0,-0.001186588235294113
2.76918531421347,23.0,-0.002653142857142854
2.76918531421347,24.0,-0.006126526315789471
2.76918531421347,25.0,-0.006030285714285712
2.76918531421347,26.0,-0.007288727272727272
2.76918531421347,27.0,-0.0074477073170731685
2.76918531421347,28.0,-0.0069636190476190475
2.76918531421347,29.0,-0.009941
2.76918531421347,30.0,-0.008456425531914894
2.76918531421347,31.0,-0.010546769230769231
2.76918531421347,32.0,-0.011184000000000001
2.76918531421347,33.0,-0.010108307692307694
2.76918531421347,34.0,-0.007119508771929826
2.76918531421347,35.0,-0.005323692307692307
2.76918531421347,36.0,-0.005333241379310344
2.76918531421347,37.0,-0.0014844210526315789
2.76918531421347,38.0,-0.0010941249999999998
2.76918531421347,39.0,-0.0018030967741935495
2.76918531421347,40.0,-0.0036448135593220342
2.76918531421347,41.0,-0.003939529411764706
2.76918531421347,42.0,-0.00438569696969697
2.76918531421347,43.0,-0.0029021111111111114
2.76918531421347,44.0,-0.0021015072463768107
2.76918531421347,45.0,-0.0012630588235294112
2.76918531421347,46.0,-0.002316
2.76918531421347,47.0,-0.0030666849315068496
2.76918531421347,48.0,-0.0036775384615384613
2.76918531421347,49.0,-0.002113368421052631
